trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.5}",20,0,-118.83437681894802,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.8955, 'e': 0.4975}",20,0,-72.58725088878882,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.8910225, 'e': 0.4950125}",20,6,-50.9535795218223,"{0: 8, 1: 4, 2: 0, 3: 2, 4: 0}",1
4,False,"{'a': 0.8865673875000001, 'e': 0.4925374375}",20,1,-18.386884692093847,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.8821345505625, 'e': 0.4900747503125}",25,11,-29.3458260263373,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.8777238778096875, 'e': 0.4876243765609375}",30,0,-34.68439895816089,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.8733352584206391, 'e': 0.4851862546781328}",30,0,-92.67929371748068,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.8689685821285358, 'e': 0.4827603234047421}",25,0,-115.55910308327061,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
9,False,"{'a': 0.8646237392178932, 'e': 0.4803465217877184}",25,0,-29.91445274531999,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.8603006205218037, 'e': 0.4779447891787798}",30,0,-203.82141144762912,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.8559991174191947, 'e': 0.47555506523288593}",25,3,-164.83273188771423,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 3}",1
12,False,"{'a': 0.8517191218320986, 'e': 0.4731772899067215}",20,2,-129.4367004866731,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 3}",1
13,False,"{'a': 0.8474605262229382, 'e': 0.47081140345718786}",20,0,-150.36938785298398,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",1
14,False,"{'a': 0.8432232235918236, 'e': 0.46845734643990194}",30,7,-9.358229372000864,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.8390071074738644, 'e': 0.46611505970770245}",25,0,-111.95282617339545,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
16,False,"{'a': 0.8348120719364951, 'e': 0.4637844844091639}",25,10,-98.66547761254203,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 2}",1
17,False,"{'a': 0.8306380115768126, 'e': 0.4614655619871181}",20,0,9.436643737195386,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.8264848215189285, 'e': 0.4591582341771825}",25,9,-4.79750912557757,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.8223523974113338, 'e': 0.4568624430062966}",20,3,-58.95232982284071,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.8182406354242772, 'e': 0.4545781307912651}",20,0,-49.063991567778274,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.8141494322471559, 'e': 0.4523052401373088}",25,0,-123.37838935346628,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
22,False,"{'a': 0.8100786850859201, 'e': 0.45004371393662224}",20,6,-64.84453124765689,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
23,False,"{'a': 0.8060282916604905, 'e': 0.44779349536693913}",25,6,-22.792803156392168,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
24,False,"{'a': 0.801998150202188, 'e': 0.4455545278901044}",20,0,-7.071263590070393,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.7979881594511771, 'e': 0.4433267552506539}",25,0,-117.82980495156589,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.7939982186539211, 'e': 0.4411101214744006}",25,17,-10.500272246477454,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.7900282275606515, 'e': 0.4389045708670286}",20,0,-129.89119707120304,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.7860780864228483, 'e': 0.4367100480126935}",20,7,0.21165202503062952,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.7821476959907341, 'e': 0.43452649777263}",20,0,21.307806976763445,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.7782369575107804, 'e': 0.43235386528376685}",20,6,-45.20122327222537,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.7743457727232265, 'e': 0.43019209595734803}",20,0,-112.04372865118557,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
32,False,"{'a': 0.7704740438596104, 'e': 0.4280411354775613}",20,3,-30.731458888095524,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.7666216736403123, 'e': 0.42590092980017347}",20,0,-9.283372041603027,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.7627885652721107, 'e': 0.4237714251511726}",35,0,-186.7378458390789,"{0: 20, 1: 4, 2: 7, 3: 2, 4: 2}",0
35,False,"{'a': 0.7589746224457501, 'e': 0.42165256802541673}",20,0,-39.69072219191558,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
36,False,"{'a': 0.7551797493335214, 'e': 0.4195443051852896}",25,0,-129.93895835080923,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
37,False,"{'a': 0.7514038505868538, 'e': 0.4174465836593632}",20,0,-58.69895875650411,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.7476468313339195, 'e': 0.4153593507410664}",30,0,-86.37380836479143,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",1
39,False,"{'a': 0.7439085971772499, 'e': 0.413282553987361}",35,6,-12.170355787611033,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 0}",1
40,False,"{'a': 0.7401890541913636, 'e': 0.4112161412174242}",20,8,5.486737278590426,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.7364881089204068, 'e': 0.40916006051133713}",25,13,-37.01269909898694,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.7328056683758049, 'e': 0.40711426020878044}",20,0,-41.382763224002176,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.7291416400339258, 'e': 0.4050786889077365}",20,3,-13.42965833842575,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.7254959318337562, 'e': 0.40305329546319785}",20,0,-68.2971422438273,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.7218684521745874, 'e': 0.40103802898588187}",20,0,-58.99506033662203,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.7182591099137143, 'e': 0.3990328388409524}",20,0,-37.69492688765149,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.7146678143641458, 'e': 0.39703767464674766}",30,13,-38.6764266036078,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.7110944752923251, 'e': 0.3950524862735139}",30,18,-7.695966560794217,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.7075390029158635, 'e': 0.3930772238421464}",25,0,-132.80143268183878,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
50,False,"{'a': 0.7040013079012841, 'e': 0.3911118377229356}",30,0,-0.4149784873153206,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.7004813013617777, 'e': 0.38915627853432094}",20,11,-7.486077377659338,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.6969788948549689, 'e': 0.38721049714164935}",25,1,-53.183132370643264,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 1}",1
53,False,"{'a': 0.693494000380694, 'e': 0.3852744446559411}",20,12,-0.20633526197565621,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.6900265303787905, 'e': 0.3833480724326614}",20,0,-110.4228536292458,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
