trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.5}",25,0,-57.40059510366372,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.8955, 'e': 0.4975}",25,9,-72.06501343183234,"{0: 9, 1: 5, 2: 0, 3: 1, 4: 1}",1
3,False,"{'a': 0.8910225, 'e': 0.4950125}",25,0,-142.32487590236437,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
4,False,"{'a': 0.8865673875000001, 'e': 0.4925374375}",30,0,-276.1145670473942,"{0: 13, 1: 5, 2: 6, 3: 2, 4: 4}",0
5,False,"{'a': 0.8821345505625, 'e': 0.4900747503125}",20,0,-72.56471718334538,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.8777238778096875, 'e': 0.4876243765609375}",30,0,-222.96153942277454,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
7,False,"{'a': 0.8733352584206391, 'e': 0.4851862546781328}",25,0,-245.55289210669181,"{0: 9, 1: 3, 2: 8, 3: 2, 4: 3}",0
8,False,"{'a': 0.8689685821285358, 'e': 0.4827603234047421}",35,0,-207.8517320163915,"{0: 22, 1: 1, 2: 7, 3: 2, 4: 3}",0
9,False,"{'a': 0.8646237392178932, 'e': 0.4803465217877184}",25,0,-225.12245400195187,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.8603006205218037, 'e': 0.4779447891787798}",25,0,-143.29251952488704,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.8559991174191947, 'e': 0.47555506523288593}",20,0,-74.87634120174644,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.8517191218320986, 'e': 0.4731772899067215}",30,0,-98.7215221011819,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.8474605262229382, 'e': 0.47081140345718786}",30,0,-302.53629901634963,"{0: 12, 1: 4, 2: 7, 3: 3, 4: 4}",0
14,False,"{'a': 0.8432232235918236, 'e': 0.46845734643990194}",25,0,-106.66718326541717,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.8390071074738644, 'e': 0.46611505970770245}",25,0,-244.6119908217328,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
16,False,"{'a': 0.8348120719364951, 'e': 0.4637844844091639}",20,0,-127.53924146945147,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.8306380115768126, 'e': 0.4614655619871181}",25,0,-243.13154289961227,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
18,False,"{'a': 0.8264848215189285, 'e': 0.4591582341771825}",20,0,-98.24834475517491,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.8223523974113338, 'e': 0.4568624430062966}",20,10,-100.29922473318662,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 2}",1
20,False,"{'a': 0.8182406354242772, 'e': 0.4545781307912651}",20,0,-101.70530646773736,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-72.77502698360895,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-81.79895968212963,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-192.1479486954928,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-97.35124255770252,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-128.54300022838927,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-86.07532959384741,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,10,-15.650826417145177,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-144.48618937808584,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-142.7800451766181,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-61.407821526217596,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
